placement,component,type,version_or_image,state,exposure_or_dependency,classification,validation,finding
omv,openmediavault,NAS-control-plane,8.4.0-3,operational,HTTP admin plus NFS SMB,live-critical,verified-read-only,F-009
omv,md0,RAID1,14.55TiB,clean-58-percent,NFS SMB production and backups,live-critical,verified-read-only,F-005
omv,sdd1,standalone-filesystem,14.6TiB,operational,Transfer Portal source data,live-data,verified-read-only,F-008
omv,Transfer Portal,native systemd app,live source drift,restart-loop,obsolete 192.168.10.147:8088 bind,live-failed,failed,F-008
omv,omv-hddfanctrl,systemd-service,unknown,failed,fan control,live-failed,failed,physical thermal review
omv,quotaon md0 and sdd1,systemd-services,unknown,failed,filesystem quota enablement,live-failed,failed,quota policy review
docker-host,adguard-home,application-container,image 7157eb1dc3b2,up,DNS 53 plus admin 8080,live,verified-read-only,F-010
docker-host,bambuddy,application-container,image debbfe09b1cf,healthy,no published port observed,live,verified-read-only,F-007
docker-host,docker-host-telegraf,monitoring-agent,image f0870a1e3faa,up,metrics and Docker socket,live,verified-read-only,F-015
docker-host,dozzle,admin-container,image dac897ce93cb,up,8081 plus Docker socket,live-admin,verified-read-only,F-015
docker-host,gardenkeeper-api,application-container,local build,up,8090,live,verified-read-only,F-007
docker-host,gardenkeeper-postgres,database-container,postgres image dc17045ccfd3,healthy,internal 5432,live-data,verified-read-only,F-007
docker-host,gardenkeeper-redis,cache-container,redis:7-alpine,healthy,internal 6379,live-data,verified-read-only,F-007
docker-host,gardenkeeper-web,application-container,local build,up,8091,live,verified-read-only,F-007
docker-host,gardenkeeper-worker,worker-container,local build,up,internal worker,live,verified-read-only,F-007
docker-host,grocy,application-container,image 2e30cd100e65,up,9283,live,verified-read-only,F-015
docker-host,homepage,admin-container,image d8d784e50901,healthy,3001 plus Docker socket,live-admin,verified-read-only,F-015
docker-host,household-hub-api,application-container,household-hub-api:0.1.0,up,8101,live,verified-read-only,F-007
docker-host,household-hub-postgres,database-container,postgres image dc17045ccfd3,healthy,internal 5432,live-data,verified-read-only,F-007
docker-host,household-hub-qdrant,vector-database-container,qdrant/qdrant:v1.12.6,up,internal 6333-6334,live-data,verified-read-only,F-007
docker-host,household-hub-redis,cache-container,redis:7-alpine,healthy,internal 6379,live-data,verified-read-only,F-007
docker-host,household-hub-web,application-container,household-hub-web:0.1.0,up,8100,live,verified-read-only,F-007
docker-host,household-hub-worker,worker-container,household-hub-worker:0.1.0,up,internal worker,live,verified-read-only,F-007
docker-host,immich-machine-learning,application-container,ghcr.io/immich-app/immich-machine-learning:v2.7.5,healthy,internal ML,live,verified-read-only,F-002
docker-host,immich-postgres,database-container,Immich postgres 14 VectorChord,healthy,internal 5432,live-data,verified-read-only,F-002
docker-host,immich-redis,cache-container,valkey/valkey:9,healthy,internal 6379,live-data,verified-read-only,F-002
docker-host,immich-server,application-container,ghcr.io/immich-app/immich-server:v2.7.5,restarting,missing NFS media mount,live-failed,failed,F-002
docker-host,mealie,application-container,ghcr.io/mealie-recipes/mealie:v3.19.2,healthy,9925,live,verified-read-only,F-028
docker-host,ntfy,notification-container,image b32b4221a64e,up,8085,live,verified-read-only,F-015
docker-host,obsidian-livesync,database-container,couchdb:3.5.0,up,5984,live-data,verified-read-only,F-001
docker-host,searxng,search-container,image 1a9d21346437,up,8087,live,verified-read-only,F-015
docker-host,watchtower,update-monitor-container,containrrr/watchtower:latest,healthy,Docker socket and internal 8080,live-admin,verified-read-only,F-015
docker-host,whoogle,search-container,benbusby/whoogle-search:latest,healthy,8088,live,verified-read-only,F-015
monitoring,grafana,monitoring-container,grafana/grafana:latest,up,192.168.60.10:3000,live-critical,verified-read-only,F-014
monitoring,influxdb,time-series-database,influxdb:2.7,up,192.168.60.10:8086,live-data,verified-read-only,F-005
monitoring,telegraf,monitoring-agent,telegraf:latest,up,syslog and metrics,live,verified-read-only,F-015
monitoring,uptime-kuma,monitoring-container,louislam/uptime-kuma:1,healthy,192.168.60.10:3001,live-critical,verified-read-only,F-014
local-ai,llama-cpp-chat,AI-container,ghcr.io/ggml-org/llama.cpp:server-vulkan,healthy,8081 plus iGPU,live,verified-read-only,F-020
local-ai,llama-cpp-embeddings,AI-container,ghcr.io/ggml-org/llama.cpp:server-vulkan,healthy,8082 plus iGPU,live,verified-read-only,F-020
local-ai,open-webui,AI-web-container,ghcr.io/open-webui/open-webui:main,healthy,3002,live,verified-read-only,F-015
local-ai,wyoming-openwakeword,voice-container,rhasspy/wyoming-openwakeword:latest,up,10400,live,verified-read-only,F-020
local-ai,wyoming-piper,voice-container,rhasspy/wyoming-piper:latest,up,10200,live,verified-read-only,F-020
local-ai,wyoming-whisper,voice-container,rhasspy/wyoming-whisper:latest,up,10300,live,verified-read-only,F-020
client,Windows desktop,management-client,Windows with Chrome and Schannel,operational,local CA plus SSH keys plus browser sessions,live-client,partial,F-016
client,mobile CCTV viewport,client-profile,390x844 browser emulation,operational,HA CCTV view,observed-profile,partial,F-026
physical,VentSys hardware,physical-control-system,pending,not-present,relays sensors ventilation,planned,blocked,F-021
physical,future cameras,physical-camera,pending,not-present,six-camera target,planned,blocked,F-020
physical,UPS and power topology,physical-infrastructure,unknown,unverified,router switch Proxmox OMV cameras,omitted,blocked,F-022
