path,scope,category,validation,result,notes
.obsidian/plugins/obsidian-trash-explorer/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian42-brat/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian42-brat/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/obsidian42-brat/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/obsidian42-brat/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/regex-mark/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/regex-mark/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/regex-mark/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/table-editor-obsidian/data.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/table-editor-obsidian/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/table-editor-obsidian/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/table-editor-obsidian/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/plugins/templater-obsidian/main.js,wrapper,project,UTF-8 decode/static review,pass,No syntax/read failure
.obsidian/plugins/templater-obsidian/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/plugins/templater-obsidian/styles.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/snippets/Mermaid Style.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/themes/80s Neon/manifest.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/themes/80s Neon/theme.css,wrapper,project,existence,present,Binary or non-parseable project artefact
.obsidian/types.json,wrapper,project,JSON parse,pass,No syntax/read failure
.obsidian/workspace.json,wrapper,project,JSON parse,pass,No syntax/read failure
AGENTS.md,wrapper,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
CLAUDE.md,wrapper,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
README.md,wrapper,documentation,UTF-8 decode and local-link resolution,pass,12 local/remote link token(s) checked
main/.gitignore,active,project,existence,present,Binary or non-parseable project artefact
main/.obsidian/app.json,active,project,JSON parse,pass,No syntax/read failure
main/.obsidian/appearance.json,active,project,JSON parse,pass,No syntax/read failure
main/.obsidian/core-plugins.json,active,project,JSON parse,pass,No syntax/read failure
main/AGENTS.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/HANDOFF-2026-06-19-igpu-lxc-migration.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/PROJECT-INDEX.md,active,documentation,UTF-8 decode and local-link resolution,pass,104 local/remote link token(s) checked
main/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,4 local/remote link token(s) checked
main/TO-DO.md,active,documentation,UTF-8 decode and local-link resolution,pass,2 local/remote link token(s) checked
main/_archive/20-04-30/ventsys/integration-process/ventsys_complete_implementation_plan.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/20-04-30/ventsys/integration-process/ventsys_technical_specifications.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/20-04-30/ventsys/integration-process/ventsys_tls_implementation_guide.md,historical,documentation,UTF-8 decode and local-link resolution,pass,4 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/06-local-ai-infrastructure-vm-era.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/HANDOFF-2026-05-07-current.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/HANDOFF-2026-05-13-valve1-deployment-and-stepping.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/HANDOFF-2026-05-28-preflight-next.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/HANDOFF-2026-06-04-valve-feedback-wiring-and-carrier.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/HANDOFF-router-deploy-spec.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/README.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/eighth_audit_router_deep_dive.md,historical,documentation,UTF-8 decode and local-link resolution,pass,5 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/firewall_analysis_summary.md,historical,documentation,UTF-8 decode and local-link resolution,pass,1 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/frigate_vm_setup_guide.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/igpu_passthrough_guide.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/llm_host_setup_guide.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/proxmox_setup_guide-pre-lxc.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/2026-06-20-pre-lxc-and-handoffs/ventilation_v9k-Original.html,historical,project,UTF-8 decode/static review,pass,No syntax/read failure
main/_archive/2026-06-20-pre-lxc-and-handoffs/ventilation_v9k.html,historical,project,UTF-8 decode/static review,pass,No syntax/read failure
main/_archive/2026-06-20-pre-lxc-and-handoffs/ventsys_ha_scripts.yaml.bak-20260512,historical,project,existence,present,Binary or non-parseable project artefact
main/_archive/2026-06-20-pre-lxc-and-handoffs/vm-configs-pre-lxc.conf,historical,project,UTF-8 decode/static review,pass,No syntax/read failure
main/_archive/2026-06-20-pre-lxc-and-handoffs/vm-setup-pre-lxc.sh,historical,project,UTF-8 decode; runtime sampled remotely,pass,No syntax/read failure
main/_archive/Network Infrastructure Diagram - Old.mmd,historical,project,existence,present,Binary or non-parseable project artefact
main/_archive/README.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/full-config.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/openwrt_complete_config_phase_2.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/openwrt_script_analysis.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/ventsys-execution-guide-prompt.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_archive/ventsys_solution1_implementation.md,historical,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/_verify.ps1,active,project,PowerShell parser (external audit command),pass,No syntax/read failure
main/assets/3d-printing/Feedback Carrier/ventsys_feedback_carrier.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/assets/3d-printing/Feedback Carrier/ventsys_feedback_carrier.scad,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/Feedback Carrier/ventsys_feedback_carrier.stl,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/Feedback Carrier/ventsys_feedback_carrier_preview.png,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/Feedback Carrier/ventsys_feedback_carrier_top_view.svg,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/Feedback Carrier/ventsys_feedback_carrier_v2_concept.png,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/Feedback Carrier/ventsys_feedback_carrier_v2_concept.svg,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/generate_concept.py,active,asset,Python AST parse,pass,No syntax/read failure
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/preview_original.scad,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16 - copy.scad,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16.json,active,asset,JSON parse,pass,No syntax/read failure
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16.scad,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16.stl,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16_concept.png,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16_latest.stl,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16_original.3mf,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16_original.stl,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/3d-printing/skill-test-servo-wiring-no-led-v16/servo_wiring_no_led_v16_preview.png,active,asset,existence,present,Binary or non-parseable project artefact
main/assets/vendor/three.core.min.js,active,asset,UTF-8 decode/static review,pass,No syntax/read failure
main/assets/vendor/three.module.min.js,active,asset,UTF-8 decode/static review,pass,No syntax/read failure
main/bill-of-materials/3d-printing/parts-list.md,active,documentation,UTF-8 decode and local-link resolution,pass,7 local/remote link token(s) checked
main/bill-of-materials/hardware/parts-list.md,active,documentation,UTF-8 decode and local-link resolution,pass,12 local/remote link token(s) checked
main/configs/docker-host/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/configs/docker-host/stacks/adguard-home/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/configs/docker-host/stacks/adguard-home/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/dozzle/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/grocy/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/homepage/config/kubernetes.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/homepage/config/services.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/homepage/config/settings.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/homepage/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/immich/README-STAGED.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/configs/docker-host/stacks/immich/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/mealie/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/ntfy/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/ntfy/etc/server.yml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/obsidian-livesync/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/obsidian-livesync/env.example,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/docker-host/stacks/obsidian-livesync/local.ini,active,configuration,existence,present,Binary or non-parseable project artefact
main/configs/docker-host/stacks/searxng/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/configs/docker-host/stacks/searxng/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/telegraf/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/telegraf/telegraf.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/docker-host/stacks/watchtower/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/stacks/whoogle/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/docker-host/system/docker-host-fail2ban-sshd.local,active,configuration,existence,present,Binary or non-parseable project artefact
main/configs/docker-host/system/docker-host-firewall.sh,active,configuration,UTF-8 decode; runtime sampled remotely,pass,No syntax/read failure
main/configs/docker-host/system/docker-host-ufw-route-dns.sh,active,configuration,UTF-8 decode; runtime sampled remotely,pass,No syntax/read failure
main/configs/docker-host/system/docker-host-ufw-route-monitoring-tailscale.sh,active,configuration,UTF-8 decode; runtime sampled remotely,pass,No syntax/read failure
main/configs/esphome/.gitignore,active,configuration,existence,present,Binary or non-parseable project artefact
main/configs/esphome/_dev/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/configs/esphome/_dev/ventsys_airflow_sensor.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/_dev/ventsys_butterfly_valve.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_air_sensor_base.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_booth_airflow.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_booth_fan.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_360_valve.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_360_valve_v2_nerdiy.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_360_valve_v2_nerdiy_original_test.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_airflow.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_array_1.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_array_2.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_branch_valve.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_pipe_air_sensor.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_fdm_print_valve.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_garage_air_sensor.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_main_fan.yaml,active,configuration,YAML syntax parse (BaseLoader),fail,FileNotFoundError: [Errno 2] No such file or directory: 'E:\\home-automation-project\\main\\configs\\esphome\\ventsys_main_fan.yaml'
main/configs/esphome/ventsys_main_valve1.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_main_valve2.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_plug_tapo_p110_notes.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/configs/esphome/ventsys_plug_ultrasonic.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_plug_uv1.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_plug_uv2.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_plug_wash_cure.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_360_valve.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_360_valve_v2_nerdiy.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_airflow.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_array_1.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_array_2.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_branch_valve.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_pipe_air_sensor.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/esphome/ventsys_sla_print_valve.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/frigate/config-baseline.yml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/frigate/config.yml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/frigate/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/frigate/frigate.env.example,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/frigate/system/frigate-nvr-fail2ban-sshd.local,active,configuration,existence,present,Binary or non-parseable project artefact
main/configs/grafana/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/configs/grafana/dashboards/network-dns-overview.json,active,configuration,JSON parse,pass,No syntax/read failure
main/configs/grafana/dashboards/proxmox-resource-overview.json,active,configuration,JSON parse,pass,No syntax/read failure
main/configs/grafana/dashboards/security-posture-overview.json,active,configuration,JSON parse,pass,No syntax/read failure
main/configs/grafana/dashboards/service-availability-overview.json,active,configuration,JSON parse,pass,No syntax/read failure
main/configs/home-assistant/automations.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/home-assistant/bambuddy_p1s_package.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/home-assistant/configuration.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/home-assistant/custom_components/searxng_llm/__init__.py,active,configuration,Python AST parse,pass,No syntax/read failure
main/configs/home-assistant/custom_components/searxng_llm/manifest.json,active,configuration,JSON parse,pass,No syntax/read failure
main/configs/home-assistant/haos-timesyncd-router.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/home-assistant/lovelace/monitoring-grafana-links.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/home-assistant/monitoring_external_health_package.yaml,active,configuration,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/local-ai/docker-compose.yml,active,docker-compose,YAML syntax parse (BaseLoader),pass,No syntax/read failure
main/configs/local-ai/models/llama3.1-search.Modelfile,active,configuration,existence,present,Binary or non-parseable project artefact
main/configs/local-ai/system/docker.service.d/firewall.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/local-ai/system/llm-host-firewall.sh,active,configuration,UTF-8 decode; runtime sampled remotely,pass,No syntax/read failure
main/configs/openwrt/dhcp-config.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/openwrt/firewall-config.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/openwrt/system-config.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/openwrt/vlan-config.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/openwrt/wireless-config.conf,active,configuration,UTF-8 decode/static review,pass,No syntax/read failure
main/configs/proxmox/guest-configs.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/dashboards/ventsys-card-wrapper.html,active,dashboard,UTF-8 decode/static review,pass,No syntax/read failure
main/dashboards/ventsys-config.js.example,active,dashboard,UTF-8 decode/static review,pass,No syntax/read failure
main/dashboards/ventsys-dashboard.html,active,dashboard,UTF-8 decode/static review,pass,No syntax/read failure
main/dashboards/ventsys_solar_screensaver.html,active,dashboard,UTF-8 decode/static review,pass,No syntax/read failure
main/docs/audits/2026-06-system-audit/01-scope-environment.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/02-claim-traceability.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/03-findings.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/04-live-tests.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/05-resilience-test-cards.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/06-remediation-backlog.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/07-final-correctness-report.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/README.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/artifact-inventory.csv,active,documentation,existence,present,Binary or non-parseable project artefact
main/docs/audits/2026-06-system-audit/generate_inventory.py,active,documentation,Python AST parse,pass,No syntax/read failure
main/docs/audits/2026-06-system-audit/roadmap-disposition.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/audits/2026-06-system-audit/todo-disposition.md,active,documentation,UTF-8 decode and local-link resolution,fail,2 unresolved local link target(s)
main/docs/decisions/01-network-architecture.md,active,documentation,UTF-8 decode and local-link resolution,pass,3 local/remote link token(s) checked
main/docs/decisions/02-printer-vlan-architecture.md,active,documentation,UTF-8 decode and local-link resolution,pass,5 local/remote link token(s) checked
main/docs/decisions/03-docker-host-service-policy.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/decisions/04-dns-resolver-and-adblocking.md,active,documentation,UTF-8 decode and local-link resolution,pass,4 local/remote link token(s) checked
main/docs/decisions/05-self-hosted-services-remote-access.md,active,documentation,UTF-8 decode and local-link resolution,pass,6 local/remote link token(s) checked
main/docs/decisions/07-shared-igpu-lxc-infrastructure.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/decisions/08-household-knowledge-recipes-and-inventory.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/decisions/openwrt_wireless_config.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
main/docs/decisions/router-security-recommendations.md,active,documentation,UTF-8 decode and local-link resolution,pass,0 local/remote link token(s) checked
